순위,제목,가수,앨범
50,Charlie Puth,That's Hilarious,"That's Hilarious


Charlie PuthCharlie Puth"
51,방탄소년단,Dynamite,"Dynamite


방탄소년단방탄소년단"
52,NewJeans,Cookie,"Cookie


NewJeansNewJeans"
53,The Kid LAROI,STAY,"STAY


The Kid LAROI, Justin BieberThe Kid LAROI, Justin Bieber


아티스트명 더보기


The Kid LAROI
Justin Bieber"
54,세븐틴,_WORLD,"_WORLD


세븐틴세븐틴"
55,OneRepublic,I Ain't Worried,"I Ain't Worried


OneRepublicOneRepublic"
56,성시경,너의 모든 순간,"너의 모든 순간


성시경성시경"
57,(여자)아이들,MY BAG,"MY BAG


(여자)아이들(여자)아이들"
58,세븐틴,HOT,"HOT


세븐틴세븐틴"
59,케이시 (Kassy),사랑이야,"사랑이야


케이시 (Kassy)케이시 (Kassy)"
60,한동근,새벽에 걸려온 너의 전화는,"새벽에 걸려온 너의 전화는


한동근한동근"
61,케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,"늦은 밤 헤어지긴 너무 아쉬워


케이시 (Kassy)케이시 (Kassy)"
62,김승민,내 기쁨은 너가 벤틀리를 끄는 거야,"내 기쁨은 너가 벤틀리를 끄는 거야


김승민김승민"
63,MSG워너비(M.O.M),듣고 싶을까,"듣고 싶을까


MSG워너비(M.O.M)MSG워너비(M.O.M)"
64,청하,Sparkling,"Sparkling


청하청하"
65,방탄소년단,Butter,"Butter


방탄소년단방탄소년단"
66,박재범,GANADARA (Feat. 아이유),"GANADARA (Feat. 아이유)


박재범박재범"
67,태연 (TAEYEON),INVU,"INVU


태연 (TAEYEON)태연 (TAEYEON)"
68,STAYC(스테이씨),BEAUTIFUL MONSTER,"BEAUTIFUL MONSTER


STAYC(스테이씨)STAYC(스테이씨)"
69,태연 (TAEYEON),Weekend,"Weekend


태연 (TAEYEON)태연 (TAEYEON)"
70,benny blanco,Bad Decisions,"Bad Decisions


benny blanco, 방탄소년단, Snoop Doggbenny blanco, 방탄소년단, Snoop Dogg


아티스트명 더보기


benny blanco
방탄소년단
Snoop Dogg"
71,방탄소년단,Permission to Dance,"Permission to Dance


방탄소년단방탄소년단"
72,aespa,Next Level,"Next Level


aespaaespa"
73,다비치,팡파레,"팡파레


다비치다비치"
74,주시크 (Joosiq),너를 생각해,"너를 생각해


주시크 (Joosiq)주시크 (Joosiq)"
75,임재현,고백하는 취한밤에 (Prod. 2soo),"고백하는 취한밤에 (Prod. 2soo)


임재현임재현"
76,YENA (최예나),SMILEY (Feat. BIBI),"SMILEY (Feat. BIBI)


YENA (최예나)YENA (최예나)"
77,sokodomo,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)","회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)


sokodomosokodomo"
78,MSG워너비(M.O.M),바라만 본다,"바라만 본다


MSG워너비(M.O.M)MSG워너비(M.O.M)"
79,아이유,드라마,"드라마


아이유아이유"
80,방탄소년단,봄날,"봄날


방탄소년단방탄소년단"
81,로꼬,Somebody!,"Somebody!


로꼬, 화사 (Hwa Sa)로꼬, 화사 (Hwa Sa)


아티스트명 더보기


로꼬
화사 (Hwa Sa)"
82,경서,밤하늘의 별을(2020),"밤하늘의 별을(2020)


경서경서"
83,디핵 (D-Hack),OHAYO MY NIGHT,"OHAYO MY NIGHT


디핵 (D-Hack), PATEKO (파테코)디핵 (D-Hack), PATEKO (파테코)


아티스트명 더보기


디핵 (D-Hack)
PATEKO (파테코)"
84,아이유,내 손을 잡아,"내 손을 잡아


아이유아이유"
85,케이시 (Kassy),언제나 사랑해,"언제나 사랑해


케이시 (Kassy)케이시 (Kassy)"
86,Coldplay,My Universe,"My Universe


Coldplay, 방탄소년단Coldplay, 방탄소년단


아티스트명 더보기


Coldplay
방탄소년단"
87,BE'O (비오),리무진 (Feat. MINO) (Prod. GRAY),"리무진 (Feat. MINO) (Prod. GRAY)


BE'O (비오)BE'O (비오)"
88,주호,그 하루(feat.반하나),"그 하루(feat.반하나)


주호주호"
89,탑현,사랑한다고 말해줘,"사랑한다고 말해줘


탑현탑현"
90,V.O.S,미친 것처럼,"미친 것처럼


V.O.SV.O.S"
91,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)","모든 날, 모든 순간 (Every day, Every Moment)


폴킴폴킴"
92,지민,With you,"With you


지민, 하성운지민, 하성운


아티스트명 더보기


지민
하성운"
93,김호중,주마등,"주마등


김호중김호중"
94,Justin Bieber,Off My Face,"Off My Face


Justin BieberJustin Bieber"
95,아이유,strawberry moon,"strawberry moon


아이유아이유"
96,아이유,Celebrity,"Celebrity


아이유아이유"
97,김호중,빛이 나는 사람,"빛이 나는 사람


김호중김호중"
98,김호중,약속 [約束],"약속 [約束]


김호중김호중"
99,브레이브걸스,롤린 (Rollin'),"롤린 (Rollin')


브레이브걸스브레이브걸스"
100,제시 (Jessi),ZOOM,"ZOOM


제시 (Jessi)제시 (Jessi)"
